epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.6376,0.5523,0.81089,0.82913,0.55767,0.61699,0.54691,0.40811,1.01516,1.36006,0.9439,0.000164502,0.000164502,0.0672641
2,146.119,0.53951,0.66496,0.82148,0.66819,0.65743,0.66122,0.51706,0.88663,1.10253,0.91629,0.00032789,0.00032789,0.0340941
3,198.89,0.5383,0.63411,0.82119,0.62546,0.68328,0.64495,0.50978,0.84595,1.11816,0.90592,0.000487978,0.000487978,0.000920879
4,260.22,0.54358,0.61258,0.82077,0.73296,0.67643,0.73719,0.5867,0.81458,0.95626,0.89416,0.00048515,0.00048515,0.00048515
5,324.472,0.53234,0.59897,0.81889,0.80656,0.69347,0.78219,0.62676,0.79841,0.86345,0.88865,0.0004802,0.0004802,0.0004802
6,376.332,0.51685,0.5461,0.81687,0.81833,0.6951,0.78537,0.63246,0.79048,0.85862,0.88649,0.00047525,0.00047525,0.00047525
7,418.673,0.51152,0.54734,0.81452,0.78667,0.7291,0.78953,0.63723,0.77723,0.84479,0.88257,0.0004703,0.0004703,0.0004703
8,457.064,0.51367,0.544,0.81548,0.83227,0.72232,0.80269,0.64844,0.77365,0.81022,0.88141,0.00046535,0.00046535,0.00046535
9,496.527,0.51614,0.5496,0.81606,0.77224,0.72274,0.78854,0.63933,0.77308,0.85184,0.87995,0.0004604,0.0004604,0.0004604
10,534.671,0.50634,0.53165,0.8149,0.86791,0.71566,0.81755,0.66621,0.76635,0.78069,0.87938,0.00045545,0.00045545,0.00045545
11,586.846,0.51515,0.55189,0.81659,0.85092,0.74321,0.82838,0.6739,0.75383,0.75836,0.87627,0.0004505,0.0004505,0.0004505
12,643.05,0.51067,0.53902,0.81549,0.85988,0.74851,0.83061,0.6775,0.74586,0.75089,0.87389,0.00044555,0.00044555,0.00044555
13,673.843,0.51788,0.53637,0.81588,0.8026,0.73231,0.80755,0.65889,0.76007,0.80538,0.87404,0.0004406,0.0004406,0.0004406
14,729.529,0.50873,0.54148,0.81589,0.80805,0.73113,0.80769,0.66188,0.74483,0.80299,0.87105,0.00043565,0.00043565,0.00043565
15,766.411,0.50177,0.51644,0.81377,0.87937,0.76877,0.84453,0.69243,0.73497,0.72216,0.86954,0.0004307,0.0004307,0.0004307
16,808.766,0.50777,0.5362,0.81396,0.87587,0.75962,0.84557,0.69447,0.73057,0.71028,0.86891,0.00042575,0.00042575,0.00042575
17,864.212,0.5063,0.52016,0.81259,0.90605,0.75517,0.85279,0.69399,0.75485,0.70211,0.87015,0.0004208,0.0004208,0.0004208
18,1021.2,0.50925,0.52699,0.81461,0.89688,0.75967,0.84654,0.69817,0.72208,0.71306,0.86648,0.00041585,0.00041585,0.00041585
19,1075.58,0.50365,0.51376,0.81209,0.88735,0.75601,0.8505,0.69971,0.73097,0.71113,0.86795,0.0004109,0.0004109,0.0004109
20,1117.66,0.51044,0.5195,0.8125,0.8971,0.77295,0.85652,0.70727,0.71757,0.68314,0.86692,0.00040595,0.00040595,0.00040595
21,1192.31,0.51256,0.52908,0.81395,0.85872,0.78207,0.84777,0.69617,0.72856,0.70635,0.86729,0.000401,0.000401,0.000401
22,1264.92,0.50119,0.51117,0.81316,0.89676,0.7658,0.85885,0.70691,0.72808,0.68345,0.86644,0.00039605,0.00039605,0.00039605
23,1332.96,0.5075,0.51664,0.81369,0.89083,0.74631,0.84764,0.69697,0.74109,0.71281,0.86644,0.0003911,0.0003911,0.0003911
24,1370.94,0.50317,0.51038,0.81301,0.91579,0.76948,0.86199,0.70993,0.71785,0.67609,0.86426,0.00038615,0.00038615,0.00038615
25,1397.53,0.49834,0.50948,0.8116,0.92676,0.75347,0.8619,0.71332,0.71267,0.67332,0.86384,0.0003812,0.0003812,0.0003812
26,1469.72,0.50112,0.51345,0.81405,0.90155,0.77467,0.86083,0.71226,0.71199,0.67374,0.86375,0.00037625,0.00037625,0.00037625
27,1515.95,0.49329,0.49439,0.81123,0.9172,0.76136,0.85734,0.71114,0.70778,0.67968,0.86255,0.0003713,0.0003713,0.0003713
28,1554.25,0.49746,0.50873,0.81221,0.90797,0.76084,0.85345,0.70514,0.72183,0.68977,0.86386,0.00036635,0.00036635,0.00036635
29,1706.16,0.50228,0.51755,0.81406,0.92515,0.77719,0.86422,0.71917,0.69946,0.66809,0.86152,0.0003614,0.0003614,0.0003614
30,1735.38,0.49136,0.49993,0.81307,0.93181,0.76937,0.86373,0.72049,0.69828,0.661,0.8611,0.00035645,0.00035645,0.00035645
31,1792.28,0.4969,0.50499,0.81262,0.89333,0.78539,0.86464,0.71522,0.71316,0.6626,0.86158,0.0003515,0.0003515,0.0003515
32,1827.97,0.49273,0.50482,0.81014,0.91447,0.78151,0.86496,0.71869,0.69889,0.6646,0.86036,0.00034655,0.00034655,0.00034655
33,1951.67,0.49405,0.50544,0.81154,0.87961,0.79398,0.86089,0.71479,0.70497,0.66441,0.85979,0.0003416,0.0003416,0.0003416
34,1982.48,0.49597,0.50687,0.81231,0.91152,0.78163,0.86443,0.71834,0.69695,0.66246,0.85951,0.00033665,0.00033665,0.00033665
35,2031.59,0.49451,0.50454,0.81139,0.91035,0.77826,0.8644,0.72057,0.69222,0.66416,0.85988,0.0003317,0.0003317,0.0003317
36,2096.64,0.49673,0.50601,0.81141,0.92117,0.78409,0.86916,0.72259,0.69743,0.65606,0.86019,0.00032675,0.00032675,0.00032675
37,2122.82,0.48818,0.48858,0.81244,0.90679,0.78139,0.86414,0.71932,0.69234,0.6635,0.85943,0.0003218,0.0003218,0.0003218
38,2154.62,0.4892,0.49416,0.81168,0.90757,0.79193,0.8689,0.72429,0.69101,0.65573,0.85898,0.00031685,0.00031685,0.00031685
39,2191.3,0.49477,0.50252,0.81183,0.91372,0.80157,0.87203,0.72824,0.69039,0.64304,0.85783,0.0003119,0.0003119,0.0003119
40,2223.01,0.48916,0.49009,0.81171,0.90851,0.77944,0.86212,0.72048,0.69468,0.66894,0.85854,0.00030695,0.00030695,0.00030695
41,2258.34,0.48587,0.48912,0.80909,0.92361,0.78156,0.86764,0.72392,0.68989,0.65475,0.85871,0.000302,0.000302,0.000302
42,2293.76,0.48705,0.49333,0.81099,0.92886,0.79164,0.86849,0.72539,0.68826,0.65963,0.85836,0.00029705,0.00029705,0.00029705
43,2348.28,0.48558,0.49641,0.81112,0.92663,0.78849,0.87346,0.72959,0.68752,0.63902,0.85794,0.0002921,0.0002921,0.0002921
44,2392.25,0.49652,0.5037,0.81317,0.94297,0.77998,0.87473,0.73052,0.68788,0.63869,0.85833,0.00028715,0.00028715,0.00028715
45,2422.94,0.49046,0.49192,0.8115,0.93312,0.78594,0.87358,0.72697,0.6927,0.64911,0.8581,0.0002822,0.0002822,0.0002822
