epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.424,0.53364,0.52926,0.81526,0.91446,0.73134,0.84034,0.70627,0.6906,0.75823,0.85411,9.97835e-05,9.97835e-05,0.050208
2,1095.71,0.51266,0.50521,0.81253,0.89604,0.79671,0.87563,0.74131,0.66374,0.65225,0.84973,0.000196187,0.000196187,0.000304413
3,1304.43,0.50394,0.49354,0.81106,0.92947,0.80724,0.88192,0.74831,0.65204,0.62659,0.84879,0.0001928,0.0001928,0.0001928
4,1709.15,0.4953,0.47825,0.80974,0.93552,0.81158,0.88991,0.75045,0.66343,0.59838,0.84406,0.0001892,0.0001892,0.0001892
5,2099.43,0.48709,0.47218,0.80819,0.93375,0.80112,0.8869,0.75709,0.6389,0.60755,0.84214,0.0001856,0.0001856,0.0001856
6,2449.27,0.48814,0.46896,0.80872,0.93796,0.80321,0.89028,0.76344,0.6259,0.58839,0.83897,0.000182,0.000182,0.000182
7,2774.01,0.48045,0.45733,0.80726,0.95401,0.81483,0.89776,0.76754,0.62609,0.57587,0.84113,0.0001784,0.0001784,0.0001784
8,3399.12,0.47966,0.45203,0.80687,0.95187,0.81951,0.90001,0.7729,0.62385,0.56557,0.83898,0.0001748,0.0001748,0.0001748
9,3619.9,0.47477,0.44616,0.80557,0.96038,0.82022,0.90436,0.76682,0.6461,0.56044,0.83873,0.0001712,0.0001712,0.0001712
10,3883.27,0.46237,0.43326,0.8039,0.93009,0.82844,0.89923,0.77761,0.60859,0.56565,0.83569,0.0001676,0.0001676,0.0001676
11,4183.09,0.4671,0.44139,0.80457,0.95373,0.81255,0.89869,0.77301,0.61528,0.55465,0.83618,0.000164,0.000164,0.000164
12,5704.13,0.46013,0.43388,0.80369,0.93552,0.81647,0.89463,0.76999,0.62,0.57385,0.83807,0.0001604,0.0001604,0.0001604
13,6080.02,0.45397,0.42632,0.80278,0.9395,0.82806,0.90607,0.78313,0.59946,0.53935,0.83301,0.0001568,0.0001568,0.0001568
14,6497.38,0.44791,0.41537,0.80167,0.94709,0.82587,0.90253,0.77734,0.60488,0.55242,0.83485,0.0001532,0.0001532,0.0001532
15,8057.37,0.45168,0.42232,0.80269,0.94534,0.82723,0.9055,0.78474,0.59542,0.53641,0.83246,0.0001496,0.0001496,0.0001496
16,8445.19,0.44708,0.41317,0.80163,0.94997,0.82841,0.90546,0.78384,0.597,0.53352,0.83414,0.000146,0.000146,0.000146
17,10708.1,0.43696,0.40495,0.80099,0.93196,0.83035,0.8993,0.78175,0.59254,0.53692,0.83182,0.0001424,0.0001424,0.0001424
18,10955.6,0.43494,0.4018,0.80015,0.94435,0.8318,0.90223,0.78083,0.59889,0.54184,0.83299,0.0001388,0.0001388,0.0001388
19,11162.8,0.43636,0.3998,0.79997,0.95415,0.83908,0.9093,0.79389,0.58446,0.51731,0.83142,0.0001352,0.0001352,0.0001352
