epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.411,0.46758,0.43116,0.8027,0.90452,0.79553,0.88122,0.75167,0.63047,0.63707,0.84473,7.48918e-05,7.48918e-05,0.050147
2,802.599,0.43716,0.40298,0.79978,0.93811,0.8415,0.91168,0.79292,0.57919,0.51123,0.82945,0.000147643,0.000147643,0.000219793
3,1065.74,0.4288,0.39167,0.79844,0.95101,0.83224,0.90908,0.78688,0.59221,0.51016,0.82909,0.0001455,0.0001455,0.0001455
4,3392.94,0.4269,0.38803,0.79882,0.95691,0.83513,0.91334,0.79099,0.58847,0.50627,0.82906,0.00014325,0.00014325,0.00014325
5,3656.74,0.42727,0.38895,0.79889,0.93726,0.84164,0.913,0.79778,0.56876,0.50682,0.82699,0.000141,0.000141,0.000141
6,3914.07,0.42481,0.38441,0.79799,0.95091,0.82037,0.90309,0.78916,0.57481,0.52617,0.82803,0.00013875,0.00013875,0.00013875
7,4236.36,0.4164,0.37601,0.79765,0.95994,0.83107,0.91182,0.79391,0.58048,0.50497,0.82745,0.0001365,0.0001365,0.0001365
8,6259.18,0.41509,0.37179,0.79689,0.95446,0.82636,0.90929,0.79231,0.57827,0.51006,0.82732,0.00013425,0.00013425,0.00013425
9,6667.06,0.41319,0.37259,0.79691,0.95853,0.82632,0.90932,0.79134,0.58475,0.5144,0.8266,0.000132,0.000132,0.000132
10,10167.6,0.4096,0.36777,0.79602,0.94954,0.8281,0.90854,0.79503,0.57106,0.50692,0.82658,0.00012975,0.00012975,0.00012975
11,10640.1,0.41023,0.3679,0.79643,0.94992,0.82783,0.90767,0.79352,0.57008,0.49911,0.82608,0.0001275,0.0001275,0.0001275
12,11327.3,0.40387,0.35965,0.79571,0.93653,0.84343,0.90828,0.79243,0.57868,0.49994,0.82769,0.00012525,0.00012525,0.00012525
13,11715.8,0.40218,0.36351,0.79592,0.95173,0.8415,0.91283,0.79806,0.57089,0.49203,0.82524,0.000123,0.000123,0.000123
14,12048.5,0.39761,0.35688,0.79489,0.94847,0.83028,0.90843,0.79721,0.5652,0.51082,0.82689,0.00012075,0.00012075,0.00012075
15,12526.3,0.40233,0.3568,0.79509,0.94464,0.84193,0.91215,0.79954,0.56523,0.48697,0.82401,0.0001185,0.0001185,0.0001185
16,12889.2,0.39744,0.35313,0.79469,0.94293,0.84128,0.91083,0.79935,0.56344,0.49422,0.82405,0.00011625,0.00011625,0.00011625
17,13301.8,0.39896,0.35768,0.79536,0.94581,0.84106,0.91066,0.79898,0.56577,0.49811,0.82396,0.000114,0.000114,0.000114
18,14350.1,0.393,0.35118,0.79453,0.95791,0.82275,0.90935,0.80261,0.55368,0.4974,0.82295,0.00011175,0.00011175,0.00011175
19,14666.4,0.39724,0.35124,0.79494,0.9481,0.84124,0.91616,0.80551,0.55541,0.4825,0.82289,0.0001095,0.0001095,0.0001095
20,15521.1,0.38857,0.34632,0.79405,0.94482,0.83692,0.91101,0.8028,0.55602,0.49702,0.82273,0.00010725,0.00010725,0.00010725
21,15952,0.39073,0.34754,0.79402,0.94893,0.83519,0.91143,0.80229,0.55857,0.4894,0.82283,0.000105,0.000105,0.000105
22,16367.3,0.38701,0.34422,0.79363,0.96317,0.83967,0.91486,0.80479,0.55503,0.47817,0.82214,0.00010275,0.00010275,0.00010275
23,16627.3,0.38735,0.34705,0.79395,0.95264,0.84018,0.91551,0.80656,0.55638,0.47448,0.82209,0.0001005,0.0001005,0.0001005
24,18290.2,0.3843,0.34006,0.79328,0.93882,0.84661,0.91351,0.80492,0.55644,0.48338,0.82165,9.825e-05,9.825e-05,9.825e-05
25,18614.5,0.38407,0.34019,0.79327,0.93518,0.84408,0.90947,0.7996,0.56532,0.49211,0.82382,9.6e-05,9.6e-05,9.6e-05
26,19556.4,0.38011,0.3352,0.79265,0.95974,0.8371,0.91562,0.80508,0.56124,0.4766,0.82207,9.375e-05,9.375e-05,9.375e-05
27,19788.6,0.38132,0.33947,0.79327,0.95405,0.8405,0.91499,0.80773,0.55189,0.47645,0.82183,9.15e-05,9.15e-05,9.15e-05
28,20901,0.37937,0.33598,0.7928,0.96004,0.83546,0.91457,0.80537,0.55579,0.47416,0.82234,8.925e-05,8.925e-05,8.925e-05
29,21149.4,0.37473,0.331,0.79245,0.94822,0.84607,0.91455,0.80655,0.55437,0.47677,0.82149,8.7e-05,8.7e-05,8.7e-05
30,21605.4,0.37817,0.33599,0.79274,0.96226,0.84207,0.91607,0.80869,0.55406,0.46959,0.82245,8.475e-05,8.475e-05,8.475e-05
31,22008.5,0.37068,0.32801,0.79165,0.95279,0.83672,0.91476,0.80845,0.55235,0.4767,0.82183,8.25e-05,8.25e-05,8.25e-05
32,22437.8,0.37228,0.32841,0.79209,0.93645,0.84948,0.91348,0.80775,0.5496,0.47877,0.82156,8.025e-05,8.025e-05,8.025e-05
33,22672.5,0.37262,0.32938,0.79168,0.93313,0.85276,0.91516,0.80913,0.55219,0.46832,0.82166,7.8e-05,7.8e-05,7.8e-05
34,22897,0.36901,0.32478,0.79122,0.96054,0.83271,0.91499,0.80722,0.55371,0.47169,0.82188,7.575e-05,7.575e-05,7.575e-05
