epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.22018,0.71671,4.12333,0.9208,0.00176,0.04153,0.00181,0.00115,0.77947,3.90695,0.90451,0.00012,0.00012,0.08812
2,14.0746,0.42111,3.15781,0.79665,0.01558,0.05254,0.01402,0.01059,0.60998,3.42196,0.87422,0.00023875,0.00023875,0.0752388
3,19.5952,0.37185,2.62442,0.79309,0.03209,0.05899,0.02186,0.01945,0.44629,3.38586,0.85054,0.0003458,0.0003458,0.0623458
4,24.9525,0.33496,1.97724,0.793,0.2547,0.22627,0.20755,0.18696,0.45914,3.36537,0.86637,0.00044115,0.00044115,0.0494412
5,30.6659,0.29956,1.49403,0.78149,0.39743,0.47841,0.41461,0.38944,0.42058,3.2018,0.86544,0.0005248,0.0005248,0.0365248
6,36.4498,0.28448,1.21079,0.78126,0.57537,0.68647,0.68838,0.62212,0.49256,2.61811,0.87548,0.00059675,0.00059675,0.0235967
7,41.754,0.27494,0.94072,0.78438,0.72457,0.76465,0.8229,0.74684,0.49439,2.05307,0.873,0.000657,0.000657,0.010657
8,46.9106,0.2677,0.77734,0.77797,0.72775,0.91798,0.92211,0.86349,0.39988,1.27651,0.86585,0.000685,0.000685,0.000685
9,52.1362,0.25606,0.64979,0.7776,0.91834,0.89343,0.95234,0.89397,0.38297,0.94248,0.86132,0.00064,0.00064,0.00064
10,57.3764,0.23827,0.57874,0.776,0.94343,0.92861,0.9692,0.93017,0.3348,0.6459,0.86037,0.000595,0.000595,0.000595
11,62.5264,0.21666,0.51296,0.77045,0.94343,0.94775,0.97227,0.94975,0.29265,0.5727,0.8516,0.00055,0.00055,0.00055
12,67.6882,0.20401,0.47117,0.7717,0.94817,0.94965,0.98035,0.94125,0.33973,0.531,0.8559,0.000505,0.000505,0.000505
13,72.7712,0.20713,0.43976,0.77431,0.96937,0.96012,0.9835,0.96058,0.28961,0.45405,0.8535,0.00046,0.00046,0.00046
14,78.0162,0.20685,0.42202,0.7723,0.97168,0.98682,0.99227,0.97197,0.28447,0.41337,0.85126,0.000415,0.000415,0.000415
15,83.0448,0.19695,0.40193,0.76697,0.98319,0.99104,0.99383,0.97188,0.29337,0.4003,0.85057,0.00037,0.00037,0.00037
16,114.676,0.19149,0.38087,0.77216,0.98219,0.99011,0.99441,0.9765,0.27508,0.39142,0.84839,0.000325,0.000325,0.000325
17,119.831,0.19116,0.36684,0.77056,0.98887,0.99484,0.99495,0.97697,0.28149,0.3691,0.84987,0.00028,0.00028,0.00028
18,124.94,0.18101,0.36395,0.77126,0.98764,0.99535,0.99494,0.97823,0.28334,0.36039,0.85047,0.000235,0.000235,0.000235
19,130.076,0.17588,0.34293,0.77239,0.98958,0.99599,0.99499,0.98158,0.26285,0.34487,0.85199,0.00019,0.00019,0.00019
20,135.313,0.1707,0.33074,0.76553,0.99015,0.99659,0.995,0.98101,0.25637,0.33251,0.85151,0.000145,0.000145,0.000145
