epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5439,1.26348,3.96514,1.0105,0.04017,0.12591,0.02983,0.02307,1.13309,3.51086,0.91124,0.000326667,0.000326667,0.06766
2,24.5529,1.08492,3.15868,0.92174,0.05865,0.22625,0.05042,0.03668,1.20394,2.97759,0.92362,0.0006303,0.0006303,0.0346303
3,42.01,1.05103,2.82351,0.91028,0.08826,0.30144,0.08888,0.06818,1.12138,2.87691,0.91843,0.000903933,0.000903933,0.0015706
4,55.9852,1.01697,2.59792,0.90208,0.09998,0.37972,0.13564,0.10542,1.06462,2.56218,0.89866,0.000865,0.000865,0.000865
5,66.3395,0.99295,2.40782,0.90223,0.14105,0.37374,0.19432,0.14898,1.10824,2.44238,0.90642,0.00082,0.00082,0.00082
6,77.8899,0.99767,2.24648,0.89755,0.24882,0.37255,0.27288,0.19983,1.17186,2.24252,0.92209,0.000775,0.000775,0.000775
7,95.1579,0.97733,2.09274,0.89323,0.32531,0.40495,0.32823,0.24477,1.1184,2.09746,0.92154,0.00073,0.00073,0.00073
8,106.273,0.95676,1.93304,0.88975,0.37937,0.47521,0.40345,0.29773,1.11577,1.90508,0.91902,0.000685,0.000685,0.000685
9,117.254,0.94223,1.79119,0.88771,0.44121,0.44684,0.43835,0.32056,1.12842,1.83294,0.92119,0.00064,0.00064,0.00064
10,127.68,0.94591,1.69856,0.88459,0.50404,0.51571,0.4847,0.35081,1.13842,1.72991,0.91693,0.000595,0.000595,0.000595
11,191.29,0.93507,1.58945,0.8839,0.54622,0.50667,0.50831,0.37527,1.09171,1.63172,0.91557,0.00055,0.00055,0.00055
12,209.817,0.91919,1.50408,0.88626,0.58431,0.52434,0.53297,0.3896,1.09238,1.57026,0.91902,0.000505,0.000505,0.000505
13,225.739,0.92732,1.45012,0.88375,0.63317,0.53332,0.55338,0.40636,1.09455,1.51199,0.91884,0.00046,0.00046,0.00046
14,236.85,0.91497,1.3773,0.88123,0.59938,0.54131,0.56094,0.4199,1.05088,1.46643,0.91083,0.000415,0.000415,0.000415
15,247.328,0.89829,1.3348,0.87925,0.60656,0.56227,0.57272,0.4266,1.0675,1.41999,0.90943,0.00037,0.00037,0.00037
16,281.614,0.89269,1.27344,0.87525,0.62071,0.56202,0.57969,0.42472,1.08389,1.38323,0.90628,0.000325,0.000325,0.000325
17,292.244,0.88246,1.235,0.87356,0.63054,0.57736,0.58827,0.44011,1.03732,1.35754,0.90121,0.00028,0.00028,0.00028
18,303.957,0.87341,1.21413,0.87251,0.62785,0.58794,0.59796,0.43622,1.0962,1.32772,0.90991,0.000235,0.000235,0.000235
19,314.375,0.86706,1.19048,0.8706,0.63,0.60358,0.6081,0.4469,1.07325,1.28744,0.90432,0.00019,0.00019,0.00019
20,353.42,0.87043,1.1773,0.87046,0.63957,0.58876,0.60048,0.44026,1.07907,1.29863,0.90179,0.000145,0.000145,0.000145
