epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.988,0.56623,0.52887,0.81562,0.81822,0.81193,0.76396,0.55498,1.0677,0.82545,0.9453,0.0001494,0.0001494,0.0503494
2,497.417,0.54182,0.50418,0.81275,0.82711,0.80462,0.76686,0.56569,1.00769,0.76427,0.9129,0.000292663,0.000292663,0.000492663
3,763.736,0.53397,0.49657,0.81078,0.80566,0.81999,0.76234,0.56434,1.00979,0.78555,0.9202,0.0002865,0.0002865,0.0002865
4,962.662,0.52225,0.48744,0.80941,0.79267,0.75884,0.73744,0.54657,1.02681,0.93032,0.91804,0.00027975,0.00027975,0.00027975
5,1192.4,0.51348,0.4734,0.80865,0.8245,0.81259,0.77231,0.56883,1.02148,0.77307,0.92557,0.000273,0.000273,0.000273
6,1328.58,0.49827,0.46204,0.80553,0.8177,0.80509,0.76566,0.56699,1.00916,0.79409,0.91812,0.00026625,0.00026625,0.00026625
7,1491.31,0.49605,0.46172,0.80571,0.82279,0.81036,0.7731,0.56987,1.01283,0.75274,0.90995,0.0002595,0.0002595,0.0002595
8,1738.39,0.48979,0.45088,0.80547,0.82368,0.80919,0.77032,0.56859,1.01301,0.76364,0.91842,0.00025275,0.00025275,0.00025275
9,1863.01,0.47694,0.43532,0.80381,0.83302,0.80199,0.77191,0.57575,1.00135,0.75002,0.90868,0.000246,0.000246,0.000246
10,2120.49,0.48263,0.43679,0.80419,0.82904,0.81898,0.77247,0.56874,1.00774,0.72818,0.90402,0.00023925,0.00023925,0.00023925
11,2255.23,0.47485,0.43438,0.80318,0.81863,0.81746,0.77417,0.56526,1.0134,0.74963,0.913,0.0002325,0.0002325,0.0002325
12,2525.77,0.47091,0.42537,0.80204,0.81946,0.8165,0.77016,0.5714,0.99611,0.73059,0.90124,0.00022575,0.00022575,0.00022575
13,3473.68,0.46219,0.42232,0.8015,0.81545,0.78991,0.76034,0.56627,1.0079,0.77362,0.90891,0.000219,0.000219,0.000219
14,3958.14,0.45816,0.42176,0.80202,0.82005,0.8125,0.77223,0.57405,1.00201,0.75204,0.90832,0.00021225,0.00021225,0.00021225
15,4435.71,0.45785,0.41295,0.80095,0.83017,0.80851,0.76513,0.56718,0.99826,0.73432,0.90418,0.0002055,0.0002055,0.0002055
16,4641.04,0.44718,0.40415,0.8004,0.78059,0.74446,0.71761,0.53394,1.01554,0.95431,0.9063,0.00019875,0.00019875,0.00019875
17,4832.36,0.44222,0.40029,0.79916,0.83009,0.79378,0.76189,0.56328,1.01523,0.74624,0.9093,0.000192,0.000192,0.000192
18,5138.61,0.43972,0.39659,0.79896,0.80667,0.79453,0.75695,0.55981,1.00899,0.77802,0.90422,0.00018525,0.00018525,0.00018525
19,5444.87,0.4427,0.40033,0.79949,0.82152,0.81499,0.77247,0.5711,1.00516,0.71851,0.90779,0.0001785,0.0001785,0.0001785
20,5561.44,0.43215,0.38899,0.79783,0.82623,0.80984,0.77223,0.57464,0.98921,0.72069,0.89844,0.00017175,0.00017175,0.00017175
21,5685.74,0.42819,0.38762,0.79749,0.82342,0.80852,0.76657,0.56881,1.00167,0.74268,0.90696,0.000165,0.000165,0.000165
22,5767.16,0.42811,0.38337,0.79735,0.82446,0.81256,0.76733,0.57086,0.99616,0.7287,0.90391,0.00015825,0.00015825,0.00015825
23,5916.93,0.42401,0.38206,0.79754,0.82528,0.80762,0.76616,0.56752,1.0117,0.74318,0.90779,0.0001515,0.0001515,0.0001515
24,6100.25,0.42173,0.38364,0.79676,0.81975,0.81698,0.76629,0.56994,1.00416,0.74333,0.91402,0.00014475,0.00014475,0.00014475
